,TR2144|c0_g1_i1,GO:0032550,atp-dependent zinc metalloprotease ftsh chloroplastic-like isoform x1,,,,,,
,TR18789|c0_g1_i1,GO:0048449,scarecrow-like protein 28,,,,,,
,TR18789|c0_g1_i1,GO:0001071,scarecrow-like protein 28,,,,,,
,TR18789|c0_g1_i1,GO:1902410,scarecrow-like protein 28,,,,,,
,TR18789|c0_g1_i1,GO:0007017,scarecrow-like protein 28,,,,,,
,TR19124|c0_g1_i1,GO:0034645,40s ribosomal protein s23-like,,,,,,
,TR19124|c0_g1_i1,GO:0005198,40s ribosomal protein s23-like,,,,,,
,TR19124|c0_g1_i1,GO:0044391,40s ribosomal protein s23-like,,,,,,
,TR19143|c0_g1_i1,GO:0031090,translocon-associated beta,,,,,,
,TR19143|c0_g1_i1,GO:0044425,translocon-associated beta,,,,,,
,TR19143|c0_g1_i1,GO:0043231,translocon-associated beta,,,,,,
Ribpr cpx,TR20306|c0_g1_i1,GO:0034645,60s ribosomal protein l10,,,,,,
,TR20306|c0_g1_i1,GO:0030529,60s ribosomal protein l10,,,,,,
,TR20306|c0_g1_i1,GO:0005198,60s ribosomal protein l10,,,,,,
,TR20819|c0_g1_i1,GO:0006631,acyl carrier protein chloroplastic,,,,,,
,TR20838|c0_g1_i1,GO:0008152,phytoene chloroplastic isoform 1,,,,,,
,TR20838|c0_g1_i1,GO:0016740,phytoene chloroplastic isoform 1,,,,,,
,TR20841|c0_g1_i2,GO:0009532,glutathione s-transferase-like,,,,,,
,TR20841|c0_g1_i2,GO:0042221,glutathione s-transferase-like,,,,,,
,TR20841|c0_g1_i2,GO:0009526,glutathione s-transferase-like,,,,,,
,TR20841|c0_g1_i2,GO:0016765,glutathione s-transferase-like,,,,,,
,TR20841|c0_g1_i2,GO:0009404,glutathione s-transferase-like,,,,,,
,TR20841|c0_g1_i2,GO:0031090,glutathione s-transferase-like,,,,,,
,TR20841|c0_g1_i2,GO:0016209,glutathione s-transferase-like,,,,,,
,TR20841|c0_g1_i2,GO:0072341,glutathione s-transferase-like,,,,,,
,TR21458|c0_g1_i1,GO:0046914,zinc finger family protein,,,,,,
,TR21747|c0_g2_i1,GO:0005911,gibberellic acid-stimulated protein 1,,,,,,
,TR21747|c0_g2_i1,GO:0010476,gibberellic acid-stimulated protein 1,,,,,,
,TR21747|c0_g2_i1,GO:0031012,gibberellic acid-stimulated protein 1,,,,,,
,TR21747|c0_g2_i1,GO:0030312,gibberellic acid-stimulated protein 1,,,,,,
,TR21747|c0_g2_i1,GO:0009408,gibberellic acid-stimulated protein 1,,,,,,
,TR21787|c0_g1_i1,GO:0031224,protein too many mouths-like isoform x1,,,,,,
,TR21787|c0_g1_i1,GO:0009886,protein too many mouths-like isoform x1,,,,,,
,TR21787|c0_g1_i1,GO:0010033,protein too many mouths-like isoform x1,,,,,,
,TR21787|c0_g1_i1,GO:0005618,protein too many mouths-like isoform x1,,,,,,
,TR21787|c0_g1_i1,GO:0050794,protein too many mouths-like isoform x1,,,,,,
,TR21787|c0_g1_i1,GO:0048437,protein too many mouths-like isoform x1,,,,,,
,TR22243|c0_g1_i1,GO:0031966,mitochondrial import receptor subunit tom22 homolog 2,,,,,,
,TR22243|c0_g1_i1,GO:0015031,mitochondrial import receptor subunit tom22 homolog 2,,,,,,
Ribpr cpx,TR22373|c0_g1_i1,GO:0034645,40s ribosomal protein,,,,,,
,TR22373|c0_g1_i1,GO:0030529,40s ribosomal protein,,,,,,
,TR22373|c0_g1_i1,GO:0005198,40s ribosomal protein,,,,,,
,TR22413|c0_g1_i2,GO:0003676,uncharacterized protein loc100257749,,,,,,
,TR22955|c0_g1_i1,GO:0004683,f-box and wd40 domain,,,,,,
,TR22955|c0_g1_i1,GO:0006464,f-box and wd40 domain,,,,,,
,TR22982|c0_g1_i3,GO:0044425,peroxisomal membrane protein pmp22-like,,,,,,
,TR23049|c0_g1_i1,GO:0043231,transcriptional regulator atrx homolog,,,,,,
,TR23049|c0_g1_i1,GO:0006464,transcriptional regulator atrx homolog,,,,,,
,TR23049|c0_g1_i1,GO:0006355,transcriptional regulator atrx homolog,,,,,,
,TR23049|c0_g1_i1,GO:0001071,transcriptional regulator atrx homolog,,,,,,
,TR23049|c0_g1_i1,GO:0003677,transcriptional regulator atrx homolog,,,,,,
,TR23049|c0_g1_i1,GO:0046983,transcriptional regulator atrx homolog,,,,,,
,TR23462|c0_g1_i1,GO:0008152,11-beta-hydroxysteroid dehydrogenase-like 4a,,,,,,
,TR23655|c0_g2_i1,GO:0044763,mitochondrial outer membrane protein porin of 34 kda,,,,,,
,TR23655|c0_g2_i1,GO:0043269,mitochondrial outer membrane protein porin of 34 kda,,,,,,
,TR23655|c0_g2_i1,GO:0005244,mitochondrial outer membrane protein porin of 34 kda,,,,,,
,TR23655|c0_g2_i1,GO:0031966,mitochondrial outer membrane protein porin of 34 kda,,,,,,
Gen/sile,TR24169|c0_g1_i1,GO:0032550,p-loop containing nucleoside triphosphate hydrolases superfamily protein isoform 1,,,,,,
,TR24169|c0_g1_i1,GO:0007017,p-loop containing nucleoside triphosphate hydrolases superfamily protein isoform 1,,,,,,
,TR24169|c0_g1_i1,GO:1901990,p-loop containing nucleoside triphosphate hydrolases superfamily protein isoform 1,,,,,,
,TR24169|c0_g1_i1,GO:0044786,p-loop containing nucleoside triphosphate hydrolases superfamily protein isoform 1,,,,,,
,TR24169|c0_g1_i1,GO:0006461,p-loop containing nucleoside triphosphate hydrolases superfamily protein isoform 1,,,,,,
,TR24169|c0_g1_i1,GO:0003006,p-loop containing nucleoside triphosphate hydrolases superfamily protein isoform 1,,,,,,
,TR24169|c0_g1_i1,GO:0006305,p-loop containing nucleoside triphosphate hydrolases superfamily protein isoform 1,,,,,,
,TR24169|c0_g1_i1,GO:0048580,p-loop containing nucleoside triphosphate hydrolases superfamily protein isoform 1,,,,,,
,TR24169|c0_g1_i1,GO:0006342,p-loop containing nucleoside triphosphate hydrolases superfamily protein isoform 1,,,,,,
,TR24169|c0_g1_i1,GO:0051052,p-loop containing nucleoside triphosphate hydrolases superfamily protein isoform 1,,,,,,
,TR24169|c0_g1_i1,GO:0003774,p-loop containing nucleoside triphosphate hydrolases superfamily protein isoform 1,,,,,,
,TR24169|c0_g1_i1,GO:0005875,p-loop containing nucleoside triphosphate hydrolases superfamily protein isoform 1,,,,,,
,TR24169|c0_g1_i1,GO:0015631,p-loop containing nucleoside triphosphate hydrolases superfamily protein isoform 1,,,,,,
,TR24169|c0_g1_i1,GO:0048285,p-loop containing nucleoside triphosphate hydrolases superfamily protein isoform 1,,,,,,
,TR24169|c0_g1_i1,GO:0034968,p-loop containing nucleoside triphosphate hydrolases superfamily protein isoform 1,,,,,,
,TR24169|c0_g1_i1,GO:1902410,p-loop containing nucleoside triphosphate hydrolases superfamily protein isoform 1,,,,,,
,TR24445|c0_g1_i3,GO:0016798,pectin lyase-like superfamily protein isoform 1,,,,,,
,TR24445|c0_g1_i3,GO:0008152,pectin lyase-like superfamily protein isoform 1,,,,,,
,TR24514|c3_g1_i1,GO:0001871,uncharacterized protein isoform 1,,,,,,
,TR24597|c0_g1_i1,GO:0008152,growth-regulating factor 2,,,,,,
,TR24634|c0_g1_i1,GO:0009527,translocase of chloroplast 34,,,,,,
,TR24634|c0_g1_i1,GO:0032550,translocase of chloroplast 34,,,,,,
,TR24634|c0_g1_i1,GO:0017111,translocase of chloroplast 34,,,,,,
,TR24634|c0_g1_i1,GO:0006605,translocase of chloroplast 34,,,,,,
,TR24634|c0_g1_i1,GO:0051644,translocase of chloroplast 34,,,,,,
,TR24634|c0_g1_i1,GO:0008320,translocase of chloroplast 34,,,,,,
,TR24634|c0_g1_i1,GO:0044425,translocase of chloroplast 34,,,,,,
,TR24634|c0_g1_i1,GO:0043169,translocase of chloroplast 34,,,,,,
,TR24634|c0_g1_i1,GO:0036338,translocase of chloroplast 34,,,,,,
,TR24634|c0_g1_i1,GO:0009154,translocase of chloroplast 34,,,,,,
,TR24707|c0_g2_i2,GO:0044786,cyclin-dependent kinases regulatory subunit 1-like,,,,,,
,TR24707|c0_g2_i2,GO:0048869,cyclin-dependent kinases regulatory subunit 1-like,,,,,,
,TR24707|c0_g2_i2,GO:0046474,cyclin-dependent kinases regulatory subunit 1-like,,,,,,
,TR24707|c0_g2_i2,GO:0000079,cyclin-dependent kinases regulatory subunit 1-like,,,,,,
,TR24707|c0_g2_i2,GO:0044424,cyclin-dependent kinases regulatory subunit 1-like,,,,,,
,TR24707|c0_g2_i2,GO:0019887,cyclin-dependent kinases regulatory subunit 1-like,,,,,,
,TR24726|c0_g1_i1,GO:0004551,mutt domain,,,,,,
Ribpr cpx,TR24790|c0_g1_i1,GO:0034645,40s ribosomal protein s7 isoform x1,,,,,,
,TR24790|c0_g1_i1,GO:0030529,40s ribosomal protein s7 isoform x1,,,,,,
,TR24790|c0_g1_i1,GO:0005198,40s ribosomal protein s7 isoform x1,,,,,,
Ribpr cpx,TR24830|c0_g1_i1,GO:0034645,60s ribosomal protein l36-3-like,,,,,,
,TR24830|c0_g1_i1,GO:0030529,60s ribosomal protein l36-3-like,,,,,,
,TR24830|c0_g1_i1,GO:0005198,60s ribosomal protein l36-3-like,,,,,,
,TR24926|c0_g1_i1,GO:0044238,glucan endo- -beta-glucosidase,,,,,,
,TR24926|c0_g1_i1,GO:0008422,glucan endo- -beta-glucosidase,,,,,,
,TR25074|c0_g2_i1,GO:0044424,pseudouridine synthase and archaeosine transglycosylase domain-containing family protein,,,,,,
,TR25074|c0_g2_i1,GO:0003676,pseudouridine synthase and archaeosine transglycosylase domain-containing family protein,,,,,,
,TR25195|c1_g1_i1,GO:0043169,dof-type zinc finger dna-binding family protein isoform 1,,,,,,
,TR25195|c1_g1_i1,GO:0043231,dof-type zinc finger dna-binding family protein isoform 1,,,,,,
,TR25195|c1_g1_i1,GO:0003676,dof-type zinc finger dna-binding family protein isoform 1,,,,,,
,TR25195|c1_g1_i1,GO:0010065,dof-type zinc finger dna-binding family protein isoform 1,,,,,,
,TR25195|c1_g1_i1,GO:0006355,dof-type zinc finger dna-binding family protein isoform 1,,,,,,
,TR25195|c1_g1_i1,GO:0001071,dof-type zinc finger dna-binding family protein isoform 1,,,,,,
,TR25217|c0_g1_i2,GO:0046914,cytochrome c oxidase assembly protein mitochondrial-like,,,,,,
,TR25331|c0_g1_i1,GO:0016740,anthocyanidin 3-o-glucosyltransferase 5-like,,,,,,
Ribpr cpx,TR25390|c0_g1_i1,GO:0034645,60s ribosomal protein l11-1-like,,,,,,
,TR25390|c0_g1_i1,GO:0030529,60s ribosomal protein l11-1-like,,,,,,
,TR25390|c0_g1_i1,GO:0005198,60s ribosomal protein l11-1-like,,,,,,
,TR25446|c2_g1_i1,GO:0009696,2-oxoglutarate and fe -dependent oxygenase superfamily protein,,,,,,
,TR25446|c2_g1_i1,GO:0009620,2-oxoglutarate and fe -dependent oxygenase superfamily protein,,,,,,
,TR25446|c2_g1_i1,GO:0009755,2-oxoglutarate and fe -dependent oxygenase superfamily protein,,,,,,
,TR25446|c2_g1_i1,GO:0009617,2-oxoglutarate and fe -dependent oxygenase superfamily protein,,,,,,
,TR25446|c2_g1_i1,GO:0042743,2-oxoglutarate and fe -dependent oxygenase superfamily protein,,,,,,
,TR25446|c2_g1_i1,GO:0006605,2-oxoglutarate and fe -dependent oxygenase superfamily protein,,,,,,
,TR25446|c2_g1_i1,GO:0043067,2-oxoglutarate and fe -dependent oxygenase superfamily protein,,,,,,
,TR25446|c2_g1_i1,GO:0016705,2-oxoglutarate and fe -dependent oxygenase superfamily protein,,,,,,
,TR25446|c2_g1_i1,GO:0010243,2-oxoglutarate and fe -dependent oxygenase superfamily protein,,,,,,
,TR25446|c2_g1_i1,GO:0043169,2-oxoglutarate and fe -dependent oxygenase superfamily protein,,,,,,
,TR25446|c2_g1_i1,GO:0009814,2-oxoglutarate and fe -dependent oxygenase superfamily protein,,,,,,
,TR25446|c2_g1_i1,GO:0033554,2-oxoglutarate and fe -dependent oxygenase superfamily protein,,,,,,
,TR25446|c2_g1_i1,GO:0009863,2-oxoglutarate and fe -dependent oxygenase superfamily protein,,,,,,
,TR25446|c2_g1_i1,GO:0035556,2-oxoglutarate and fe -dependent oxygenase superfamily protein,,,,,,
,TR25477|c0_g1_i1,GO:0046914,e3 ubiquitin-protein ligase os04g0590900-like,,,,,,
,TR25535|c0_g2_i1,GO:0010468,ap2-like ethylene-responsive transcription factor ail6,,,,,,
,TR25535|c0_g2_i1,GO:0003676,ap2-like ethylene-responsive transcription factor ail6,,,,,,
,TR25535|c0_g2_i1,GO:0001071,ap2-like ethylene-responsive transcription factor ail6,,,,,,
,TR25535|c0_g2_i1,GO:0034645,ap2-like ethylene-responsive transcription factor ail6,,,,,,
,TR25535|c0_g2_i1,GO:0043231,ap2-like ethylene-responsive transcription factor ail6,,,,,,
RNA mod,TR25564|c0_g1_i1,GO:0032550,gmp synthase,,,,,,
,TR25564|c0_g1_i1,GO:0016818,gmp synthase,,,,,,
,TR25564|c0_g1_i1,GO:0009152,gmp synthase,,,,,,
,TR25564|c0_g1_i1,GO:0006886,gmp synthase,,,,,,
,TR25564|c0_g1_i1,GO:0009064,gmp synthase,,,,,,
,TR25564|c0_g1_i1,GO:0016884,gmp synthase,,,,,,
,TR25564|c0_g1_i1,GO:0006528,gmp synthase,,,,,,
,TR25564|c0_g1_i1,GO:0009451,gmp synthase,,,,,,
,TR25564|c0_g1_i1,GO:0044444,gmp synthase,,,,,,
,TR25564|c0_g1_i1,GO:0006221,gmp synthase,,,,,,
,TR25583|c0_g1_i1,GO:0044267,10 kda chaperonin-like,,,,,,
,TR25583|c0_g1_i1,GO:0044424,10 kda chaperonin-like,,,,,,
,TR25596|c0_g1_i1,GO:0003676,histone h2a,,,,,,
,TR25596|c0_g1_i1,GO:0046983,histone h2a,,,,,,
,TR25596|c0_g1_i1,GO:0043231,histone h2a,,,,,,
,TR25596|c0_g1_i1,GO:0032993,histone h2a,,,,,,
,TR25596|c0_g1_i1,GO:0043232,histone h2a,,,,,,
,TR25623|c0_g1_i1,GO:0007049,d6-type cyclin,,,,,,
,TR25697|c0_g1_i1,GO:0044710,cytochrome p450 77a3,,,,,,
,TR25697|c0_g1_i1,GO:0016020,cytochrome p450 77a3,,,,,,
,TR25697|c0_g1_i1,GO:0046914,cytochrome p450 77a3,,,,,,
,TR25697|c0_g1_i1,GO:0016491,cytochrome p450 77a3,,,,,,
,TR25697|c0_g1_i1,GO:0046906,cytochrome p450 77a3,,,,,,
,TR25714|c0_g2_i1,GO:0005515,transcription factor bhlh61 isoform 1,,,,,,
,TR25714|c0_g2_i1,GO:0031406,transcription factor bhlh61 isoform 1,,,,,,
,TR25716|c0_g1_i2,GO:0005488,basic helix-loop-helix dna-binding superfamily,,,,,,
,TR25759|c0_g1_i3,GO:0006796,brassinosteroid insensitive 1-associated receptor kinase 1,,,,,,
,TR25759|c0_g1_i3,GO:0006464,brassinosteroid insensitive 1-associated receptor kinase 1,,,,,,
,TR25759|c0_g1_i3,GO:0004672,brassinosteroid insensitive 1-associated receptor kinase 1,,,,,,
,TR25759|c0_g1_i3,GO:0016628,brassinosteroid insensitive 1-associated receptor kinase 1,,,,,,
,TR25759|c0_g1_i3,GO:0044710,brassinosteroid insensitive 1-associated receptor kinase 1,,,,,,
,TR25759|c0_g1_i3,GO:0044425,brassinosteroid insensitive 1-associated receptor kinase 1,,,,,,
,TR25759|c0_g1_i3,GO:0032550,brassinosteroid insensitive 1-associated receptor kinase 1,,,,,,
Ribpr cpx,TR25827|c0_g1_i1,GO:0043169,mitochondrial import receptor subunit tom20-like,,,,,,
,TR25827|c0_g1_i1,GO:0005840,mitochondrial import receptor subunit tom20-like,,,,,,
,TR25827|c0_g1_i1,GO:0006839,mitochondrial import receptor subunit tom20-like,,,,,,
,TR25827|c0_g1_i1,GO:0043234,mitochondrial import receptor subunit tom20-like,,,,,,
,TR25827|c0_g1_i1,GO:0031966,mitochondrial import receptor subunit tom20-like,,,,,,
,TR25827|c0_g1_i1,GO:0019866,mitochondrial import receptor subunit tom20-like,,,,,,
,TR25827|c0_g1_i1,GO:0008320,mitochondrial import receptor subunit tom20-like,,,,,,
,TR25827|c0_g1_i1,GO:0006605,mitochondrial import receptor subunit tom20-like,,,,,,
,TR25827|c0_g1_i1,GO:0044425,mitochondrial import receptor subunit tom20-like,,,,,,
,TR25855|c0_g1_i2,GO:0046872,zinc finger family,,,,,,
,TR25859|c0_g1_i1,GO:0032553,minor allergen alt,,,,,,
,TR25859|c0_g1_i1,GO:0044710,minor allergen alt,,,,,,
,TR25859|c0_g1_i1,GO:0006355,minor allergen alt,,,,,,
,TR25859|c0_g1_i1,GO:0003824,minor allergen alt,,,,,,
,TR25867|c0_g2_i1,GO:0010468,scl domain class transcription factor,,,,,,
,TR25867|c0_g2_i1,GO:0034645,scl domain class transcription factor,,,,,,
,TR25937|c0_g1_i1,GO:0000377,u2 small nuclear ribonucleoprotein b 2-like,,,,,,
,TR25937|c0_g1_i1,GO:0036094,u2 small nuclear ribonucleoprotein b 2-like,,,,,,
,TR25937|c0_g1_i1,GO:0003723,u2 small nuclear ribonucleoprotein b 2-like,,,,,,
,TR25937|c0_g1_i1,GO:0019028,u2 small nuclear ribonucleoprotein b 2-like,,,,,,
,TR25937|c0_g1_i1,GO:0032991,u2 small nuclear ribonucleoprotein b 2-like,,,,,,
,TR25978|c0_g1_i1,GO:0004721,uncharacterized protein loc103321834,,,,,,
,TR25978|c0_g1_i1,GO:0006464,uncharacterized protein loc103321834,,,,,,
,TR25978|c0_g1_i1,GO:0043169,uncharacterized protein loc103321834,,,,,,
,TR26271|c0_g1_i1,GO:0007017,"Gb:AAF35421.1, putative [Theobroma cacao]",,,,,,
,TR26271|c0_g1_i1,GO:0000725,"Gb:AAF35421.1, putative [Theobroma cacao]",,,,,,
,TR26271|c0_g1_i1,GO:0006305,"Gb:AAF35421.1, putative [Theobroma cacao]",,,,,,
,TR26271|c0_g1_i1,GO:0048449,"Gb:AAF35421.1, putative [Theobroma cacao]",,,,,,
,TR26271|c0_g1_i1,GO:0006342,"Gb:AAF35421.1, putative [Theobroma cacao]",,,,,,
,TR26271|c0_g1_i1,GO:0031497,"Gb:AAF35421.1, putative [Theobroma cacao]",,,,,,
,TR26271|c0_g1_i1,GO:0051726,"Gb:AAF35421.1, putative [Theobroma cacao]",,,,,,
,TR26271|c0_g1_i1,GO:0034968,"Gb:AAF35421.1, putative [Theobroma cacao]",,,,,,
,TR26271|c0_g1_i1,GO:1902410,"Gb:AAF35421.1, putative [Theobroma cacao]",,,,,,
Ribpr cpx,TR26292|c0_g1_i1,GO:0034645,40s ribosomal protein s30,,,,,,
,TR26292|c0_g1_i1,GO:0030529,40s ribosomal protein s30,,,,,,
,TR26292|c0_g1_i1,GO:0005198,40s ribosomal protein s30,,,,,,
,TR26373|c0_g1_i1,GO:0016787,gdsl esterase lipase at5g33370-like,,,,,,
,TR26373|c0_g1_i1,GO:0044238,gdsl esterase lipase at5g33370-like,,,,,,
,TR26405|c0_g1_i1,GO:0060255,uncharacterized protein loc102621585,,,,,,
,TR26405|c0_g1_i1,GO:0009295,uncharacterized protein loc102621585,,,,,,
,TR26405|c0_g1_i1,GO:0009416,uncharacterized protein loc102621585,,,,,,
,TR26407|c0_g1_i1,GO:0003676,histone superfamily protein,,,,,,
,TR26407|c0_g1_i1,GO:0046983,histone superfamily protein,,,,,,
,TR26407|c0_g1_i1,GO:0043231,histone superfamily protein,,,,,,
,TR26407|c0_g1_i1,GO:0032993,histone superfamily protein,,,,,,
,TR26407|c0_g1_i1,GO:0043232,histone superfamily protein,,,,,,
,TR26443|c1_g1_i6,GO:0034645,phytochrome interacting factor isoform 1,,,,,,
,TR26443|c1_g1_i6,GO:0019222,phytochrome interacting factor isoform 1,,,,,,
,TR26443|c1_g1_i6,GO:0009416,phytochrome interacting factor isoform 1,,,,,,
,TR26443|c1_g1_i6,GO:0005515,phytochrome interacting factor isoform 1,,,,,,
,TR26443|c1_g1_i6,GO:0007165,phytochrome interacting factor isoform 1,,,,,,
,TR26443|c1_g1_i6,GO:0010467,phytochrome interacting factor isoform 1,,,,,,
,TR26443|c1_g1_i6,GO:0009605,phytochrome interacting factor isoform 1,,,,,,
,TR26451|c0_g1_i1,GO:0043231,#NAME?,,,,,,
,TR26451|c0_g1_i1,GO:0044267,#NAME?,,,,,,
,TR26451|c0_g1_i1,GO:0032550,#NAME?,,,,,,
Ribpr cpx,TR26480|c0_g1_i1,GO:0034645,60s ribosomal protein,,,,,,
,TR26480|c0_g1_i1,GO:0003723,60s ribosomal protein,,,,,,
,TR26480|c0_g1_i1,GO:0030529,60s ribosomal protein,,,,,,
,TR26480|c0_g1_i1,GO:0005198,60s ribosomal protein,,,,,,
,TR26503|c0_g1_i2,GO:0003824,hydrolyzing o-glycosyl,,,,,,
Gen/sile,TR26541|c0_g1_i2,GO:0008094,dna topoisomerase family protein,,,,,,
,TR26541|c0_g1_i2,GO:0032550,dna topoisomerase family protein,,,,,,
,TR26541|c0_g1_i2,GO:0007017,dna topoisomerase family protein,,,,,,
,TR26541|c0_g1_i2,GO:0016458,dna topoisomerase family protein,,,,,,
,TR26541|c0_g1_i2,GO:0043231,dna topoisomerase family protein,,,,,,
,TR26541|c0_g1_i2,GO:0006461,dna topoisomerase family protein,,,,,,
,TR26541|c0_g1_i2,GO:0006305,dna topoisomerase family protein,,,,,,
,TR26541|c0_g1_i2,GO:0048580,dna topoisomerase family protein,,,,,,
,TR26541|c0_g1_i2,GO:0001708,dna topoisomerase family protein,,,,,,
